"Journal Data Filtered By:  Selected Categories: IMMUNOLOGY;MYCOLOGY Selected Editions: SCIE;SSCI;AHCI;ESCI Selected JCR Year: 2025 Selected Category Schema: WOS Selected Open Access: N Indicator: Default"

Journal name,JCR Abbreviation,Publisher,ISSN,eISSN,Category,Edition,Total Citations,2025 JIF,JIF Quartile,2025 JCI,% of Citable OA
"Journal of Asthma and Allergy","J ASTHMA ALLERGY","DOVE MEDICAL PRESS LTD","1178-6965","1178-6965","IMMUNOLOGY","SCIE","2,868","3.3","Q3","0.74","99.19"%,
"CELLULAR IMMUNOLOGY","CELL IMMUNOL","ACADEMIC PRESS INC ELSEVIER SCIENCE","0008-8749","1090-2163","IMMUNOLOGY","SCIE","6,371","3.3","Q3","0.56","20.49"%,
"Antibodies","ANTIBODIES","MDPI","N/A","2073-4468","IMMUNOLOGY","ESCI","2,487","3.3","Q3","0.49","100"%,
"IMMUNOLOGY AND CELL BIOLOGY","IMMUNOL CELL BIOL","WILEY","0818-9641","1440-1711","IMMUNOLOGY","SCIE","4,711","3.3","Q3","0.41","50.76"%,
"Journal of Immunology Research","J IMMUNOL RES","WILEY","2314-8861","2314-7156","IMMUNOLOGY","SCIE","11,548","3.2","Q3","0.68","100"%,
"IMMUNOLOGY LETTERS","IMMUNOL LETT","ELSEVIER","0165-2478","1879-0542","IMMUNOLOGY","SCIE","6,196","3.2","Q3","0.64","32.22"%,
"Infectious Agents and Cancer","INFECT AGENTS CANCER","BMC","1750-9378","1750-9378","IMMUNOLOGY","SCIE","2,166","3.2","Q3","0.58","100"%,
"Transplantation Reviews","TRANSPLANT REV-ORLAN","ELSEVIER SCIENCE INC","0955-470X","N/A","IMMUNOLOGY","SCIE","1,552","3.2","Q3","0.57","37.31"%,
"ARCHIVUM IMMUNOLOGIAE ET THERAPIAE EXPERIMENTALIS","ARCH IMMUNOL THER EX","DE GRUYTER POLAND SP Z O O","0004-069X","1661-4917","IMMUNOLOGY","SCIE","1,970","3.2","Q3","0.53","87.32"%,
"IMMUNOPHARMACOLOGY AND IMMUNOTOXICOLOGY","IMMUNOPHARM IMMUNOT","TAYLOR & FRANCIS LTD","0892-3973","1532-2513","IMMUNOLOGY","SCIE","3,070","3.1","Q3","0.81","1.83"%,
"MEDICAL MICROBIOLOGY AND IMMUNOLOGY","MED MICROBIOL IMMUN","SPRINGER","0300-8584","1432-1831","IMMUNOLOGY","SCIE","2,389","3.1","Q3","0.76","50.52"%,
