"Journal Data Filtered By:  Selected Categories: PHARMACOLOGY & PHARMACY;INFECTIOUS DISEASES Selected Editions: SCIE;SSCI;AHCI;ESCI Selected JCR Year: 2025 Selected Category Schema: WOS Selected Open Access: N Indicator: Default"

Journal name,JCR Abbreviation,Publisher,ISSN,eISSN,Category,Edition,Total Citations,2025 JIF,JIF Quartile,2025 JCI,% of Citable OA
"Future Pharmacology","FUTURE PHARMACOL","MDPI","N/A","2673-9879","PHARMACOLOGY & PHARMACY","ESCI","526","2.7","Q3","0.48","100"%,
"Transboundary and Emerging Diseases","TRANSBOUND EMERG DIS","WILEY","1865-1674","1865-1682","INFECTIOUS DISEASES","SCIE","10,807","2.6","Q3","1.1","100"%,
"Zoonoses and Public Health","ZOONOSES PUBLIC HLTH","WILEY","1863-1959","1863-2378","INFECTIOUS DISEASES","SCIE","3,290","2.6","Q3","0.89","49.1"%,
"Infection Control & Hospital Epidemiology","INFECT CONT HOSP EP","CAMBRIDGE UNIV PRESS","0899-823X","1559-6834","INFECTIOUS DISEASES","SCIE","9,746","2.6","Q3","0.86","58.49"%,
"AMERICAN JOURNAL OF INFECTION CONTROL","AM J INFECT CONTROL","MOSBY-ELSEVIER","0196-6553","1527-3296","INFECTIOUS DISEASES","SCIE","9,564","2.6","Q3","0.78","17.52"%,
"Journal of Pharmaceutical Policy and Practice","J PHARM POLICY PRACT","TAYLOR & FRANCIS LTD","N/A","2052-3211","PHARMACOLOGY & PHARMACY","ESCI","2,129","2.6","Q3","0.74","100"%,
"Drug Testing and Analysis","DRUG TEST ANAL","WILEY","1942-7603","1942-7611","PHARMACOLOGY & PHARMACY","SCIE","4,496","2.6","Q3","0.68","43.78"%,
"DRUG DEVELOPMENT AND INDUSTRIAL PHARMACY","DRUG DEV IND PHARM","TAYLOR & FRANCIS LTD","0363-9045","1520-5762","PHARMACOLOGY & PHARMACY","SCIE","7,693","2.6","Q3","0.65","2.37"%,
"Journal of Natural Medicines","J NAT MED-TOKYO","SPRINGER JAPAN KK","1340-3443","1861-0293","PHARMACOLOGY & PHARMACY","SCIE","3,419","2.6","Q3","0.64","17.96"%,
"PHARMACOEPIDEMIOLOGY AND DRUG SAFETY","PHARMACOEPIDEM DR S","WILEY","1053-8569","1099-1557","PHARMACOLOGY & PHARMACY","SCIE","8,064","2.6","Q3","0.64","56.11"%,
"Infectious Disease Reports","INFECT DIS REP","MDPI","N/A","2036-7449","INFECTIOUS DISEASES","ESCI","1,235","2.6","Q3","0.61","99.68"%,
"Pharmacology Research & Perspectives","PHARMACOL RES PERSPE","WILEY","2052-1707","2052-1707","PHARMACOLOGY & PHARMACY","SCIE","3,403","2.6","Q3","0.61","100"%,
"Journal of Pharmaceutical Innovation","J PHARM INNOV","SPRINGER","1872-5120","1939-8042","PHARMACOLOGY & PHARMACY","SCIE","2,262","2.6","Q3","0.6","12.35"%,
"Current Radiopharmaceuticals","CURR RADIOPHARM","KEAI PUBLISHING LTD","1874-4710","1874-4729","PHARMACOLOGY & PHARMACY","SCIE","781","2.6","Q3","0.59","9.71"%,
"World Journal of Traditional Chinese Medicine","WORLD J TRAD CHINESE","WOLTERS KLUWER MEDKNOW PUBLICATIONS","2311-8571","2589-2894","PHARMACOLOGY & PHARMACY","ESCI","705","2.6","Q3","0.59","100"%,
"Exploratory Research in Clinical and Social Pharmacy","EXPLOR RES CLIN SOC","ELSEVIER","N/A","2667-2766","PHARMACOLOGY & PHARMACY","ESCI","1,305","2.6","Q3","0.58","100"%,
"Infection Prevention in Practice","INFECT PREV PRACT","ELSEVIER","2590-0889","2590-0889","INFECTIOUS DISEASES","ESCI","781","2.6","Q3","0.58","100"%,
"CLINICAL AND EXPERIMENTAL PHARMACOLOGY AND PHYSIOLOGY","CLIN EXP PHARMACOL P","WILEY","0305-1870","1440-1681","PHARMACOLOGY & PHARMACY","SCIE","5,778","2.5","Q3","0.79","11.4"%,
"Epidemiology & Infection","EPIDEMIOL INFECT","CAMBRIDGE UNIV PRESS","0950-2688","1469-4409","INFECTIOUS DISEASES","SCIE","10,149","2.5","Q3","0.7","100"%,
"KOREAN JOURNAL OF PHYSIOLOGY & PHARMACOLOGY","KOREAN J PHYSIOL PHA","KOREAN JOURNAL OF PHYSIOLOGY & PHARMACOLOGY","1226-4512","2093-3827","PHARMACOLOGY & PHARMACY","SCIE","1,772","2.5","Q3","0.67","100"%,
"Cannabis and Cannabinoid Research","CANNABIS CANNABINOID","SAGE PUBLICATIONS INC","2578-5125","2378-8763","PHARMACOLOGY & PHARMACY","SCIE","2,420","2.5","Q3","0.66","9.17"%,
"BioImpacts","BIOIMPACTS","TABRIZ UNIV MEDICAL SCIENCES & HEALTH SERVICES","2228-5652","2228-5660","PHARMACOLOGY & PHARMACY","SCIE","1,555","2.5","Q3","0.65","100"%,
"Infectious Diseases","INFECT DIS-NOR","TAYLOR & FRANCIS LTD","2374-4235","2374-4243","INFECTIOUS DISEASES","SCIE","2,404","2.5","Q3","0.64","29.49"%,
"Transplant Infectious Disease","TRANSPL INFECT DIS","WILEY","1398-2273","1399-3062","INFECTIOUS DISEASES","SCIE","4,040","2.5","Q3","0.63","40.2"%,
"CANCER CHEMOTHERAPY AND PHARMACOLOGY","CANCER CHEMOTH PHARM","SPRINGER","0344-5704","1432-0843","PHARMACOLOGY & PHARMACY","SCIE","8,961","2.5","Q3","0.58","34.66"%,
"DRUGS IN R&D","DRUGS R&D","SPRINGER INT PUBL AG","1174-5886","1179-6901","PHARMACOLOGY & PHARMACY","SCIE","1,363","2.5","Q3","0.55","100"%,
"JOURNAL OF CARDIOVASCULAR PHARMACOLOGY","J CARDIOVASC PHARM","LIPPINCOTT WILLIAMS & WILKINS","0160-2446","1533-4023","PHARMACOLOGY & PHARMACY","SCIE","5,670","2.5","Q3","0.55","15.89"%,
"ANNALS OF PHARMACOTHERAPY","ANN PHARMACOTHER","SAGE PUBLICATIONS INC","1060-0280","1542-6270","PHARMACOLOGY & PHARMACY","SCIE","7,022","2.5","Q3","0.43","5.83"%,
"CRITICAL REVIEWS IN THERAPEUTIC DRUG CARRIER SYSTEMS","CRIT REV THER DRUG","BEGELL HOUSE INC","0743-4863","2162-660X","PHARMACOLOGY & PHARMACY","SCIE","1,190","2.5","Q3","0.39","0"%,
"INTERNATIONAL JOURNAL OF PHARMACY PRACTICE","INT J PHARM PRACT","OXFORD UNIV PRESS","0961-7671","2042-7174","PHARMACOLOGY & PHARMACY","ESCI","1,924","2.5","Q3","0.39","45.02"%,
"Epidemics","EPIDEMICS-NETH","ELSEVIER","1755-4365","1878-0067","INFECTIOUS DISEASES","SCIE","1,741","2.4","Q3","0.76","100"%,
"PHARMACOLOGY BIOCHEMISTRY AND BEHAVIOR","PHARMACOL BIOCHEM BE","PERGAMON-ELSEVIER SCIENCE LTD","0091-3057","1873-5177","PHARMACOLOGY & PHARMACY","SCIE","10,045","2.4","Q3","0.73","17.58"%,
"Pharmacoeconomics-Open","PHARMACOECON-OPEN","SPRINGER INT PUBL AG","2509-4262","2509-4254","PHARMACOLOGY & PHARMACY","ESCI","1,214","2.4","Q3","0.72","100"%,
"Parasite Epidemiology and Control","PARASITE EPIDEM CONT","ELSEVIER","2405-6731","2405-6731","INFECTIOUS DISEASES","ESCI","987","2.4","Q3","0.7","100"%,
"Infection and Chemotherapy","INFECT CHEMOTHER","KOREAN SOC ANTIMICROBIAL THERAPY","2093-2340","2092-6448","INFECTIOUS DISEASES","ESCI","1,426","2.4","Q3","0.66","97.53"%,
"JOURNAL OF THE AMERICAN PHARMACISTS ASSOCIATION","J AM PHARM ASSOC","ELSEVIER","1544-3191","1544-3450","PHARMACOLOGY & PHARMACY","SCIE","4,478","2.4","Q3","0.63","8.27"%,
"Recent Patents on Anti-Cancer Drug Discovery","RECENT PAT ANTI-CANC","BENTHAM SCIENCE PUBL LTD","1574-8928","2212-3970","PHARMACOLOGY & PHARMACY","SCIE","1,217","2.4","Q3","0.59","7.02"%,
"Canadian Journal of Infectious Diseases & Medical Microbiology","CAN J INFECT DIS MED","WILEY","1712-9532","1918-1493","INFECTIOUS DISEASES","SCIE","2,314","2.4","Q3","0.56","100"%,
"CHIRALITY","CHIRALITY","WILEY","0899-0042","1520-636X","PHARMACOLOGY & PHARMACY","SCIE","3,342","2.4","Q3","0.56","28.26"%,
"Current Tropical Medicine Reports","CURR TROP MED REP","SPRINGER","N/A","2196-3045","INFECTIOUS DISEASES","ESCI","815","2.4","Q3","0.56","30"%,
"HIV AIDS-Research and Palliative Care","HIV AIDS-RES PALLIAT","DOVE MEDICAL PRESS LTD","1179-1373","1179-1373","INFECTIOUS DISEASES","ESCI","1,280","2.4","Q3","0.56","98.53"%,
"Integrated Pharmacy Research and Practice","INTEGR PHARM RES PRA","DOVE MEDICAL PRESS LTD","2230-5254","2230-5254","PHARMACOLOGY & PHARMACY","ESCI","580","2.4","Q3","0.55","100"%,
"Pharmacogenomics & Personalized Medicine","PHARMACOGEN PERS MED","DOVE MEDICAL PRESS LTD","N/A","1178-7066","PHARMACOLOGY & PHARMACY","SCIE","1,415","2.4","Q3","0.54","98.73"%,
"Translational and Clinical Pharmacology","TRANSL CLIN PHARMACO","KSCPT","2289-0882","2383-5427","PHARMACOLOGY & PHARMACY","ESCI","405","2.4","Q3","0.41","100"%,
"Current Vascular Pharmacology","CURR VASC PHARMACOL","BENTHAM SCIENCE PUBL LTD","1570-1611","1875-6212","PHARMACOLOGY & PHARMACY","SCIE","2,274","2.4","Q3","0.4","6.56"%,
"Current Infectious Disease Reports","CURR INFECT DIS REP","SPRINGER","1523-3847","1534-3146","INFECTIOUS DISEASES","SCIE","1,826","2.4","Q3","0.39","40.79"%,
"Canadian Pharmacists Journal","CAN PHARM J","UNIV TORONTO PRESS INC","1715-1635","1913-701X","PHARMACOLOGY & PHARMACY","ESCI","980","2.4","Q3","0.38","59.79"%,
"Drug Research","DRUG RES","GEORG THIEME VERLAG KG","2194-9379","2194-9387","PHARMACOLOGY & PHARMACY","ESCI","1,606","2.4","Q3","0.38","1.52"%,
"PEDIATRIC INFECTIOUS DISEASE JOURNAL","PEDIATR INFECT DIS J","LIPPINCOTT WILLIAMS & WILKINS","0891-3668","1532-0987","INFECTIOUS DISEASES","SCIE","11,289","2.3","Q3","0.77","17.98"%,
"JAIDS-JOURNAL OF ACQUIRED IMMUNE DEFICIENCY SYNDROMES","JAIDS-J ACQ IMM DEF","LIPPINCOTT WILLIAMS & WILKINS","1525-4135","1077-9450","INFECTIOUS DISEASES","SCIE","11,285","2.3","Q3","0.62","24.18"%,
"THERAPEUTIC DRUG MONITORING","THER DRUG MONIT","LIPPINCOTT WILLIAMS & WILKINS","0163-4356","1536-3694","PHARMACOLOGY & PHARMACY","SCIE","4,334","2.3","Q3","0.62","23.29"%,
"IJID Regions","IJID REG","ELSEVIER","N/A","2772-7076","INFECTIOUS DISEASES","ESCI","1,198","2.3","Q3","0.61","99.82"%,
"PHARMACOPSYCHIATRY","PHARMACOPSYCHIATRY","GEORG THIEME VERLAG KG","0176-3679","1439-0795","PHARMACOLOGY & PHARMACY","SCIE","1,909","2.3","Q3","0.61","17.24"%,
"JOURNAL OF VIRAL HEPATITIS","J VIRAL HEPATITIS","WILEY","1352-0504","1365-2893","INFECTIOUS DISEASES","SCIE","3,894","2.3","Q3","0.55","48.34"%,
"Journal of Clinical Tuberculosis and Other Mycobacterial Diseases","J CLIN TUBER OTH MYC","ELSEVIER","2405-5794","2405-5794","INFECTIOUS DISEASES","ESCI","1,165","2.3","Q3","0.54","100"%,
"EUROPEAN JOURNAL OF DRUG METABOLISM AND PHARMACOKINETICS","EUR J DRUG METAB PH","SPRINGER FRANCE","0378-7966","2107-0180","PHARMACOLOGY & PHARMACY","SCIE","1,853","2.3","Q3","0.53","29.41"%,
"Hygiene","HYGIENE-BASEL","MDPI","N/A","2673-947X","INFECTIOUS DISEASES","ESCI","256","2.3","Q3","0.44","100"%,
"Mediterranean Journal of Hematology and Infectious Diseases","MEDITERR J HEMATOL I","MATTIOLI 1885","N/A","2035-3006","INFECTIOUS DISEASES","SCIE","1,526","2.3","Q3","0.41","100"%,
"Prospects in Pharmaceutical Sciences","PROSPECT PHARM SCI","MEDICAL UNIV WARSAW","N/A","2957-0468","PHARMACOLOGY & PHARMACY","ESCI","237","2.3","Q3","0.39","89.4"%,
"CURRENT DRUG METABOLISM","CURR DRUG METAB","BENTHAM SCIENCE PUBL LTD","1389-2002","1875-5453","PHARMACOLOGY & PHARMACY","SCIE","4,527","2.3","Q3","0.33","6.04"%,
"JOURNAL OF OCULAR PHARMACOLOGY AND THERAPEUTICS","J OCUL PHARMACOL TH","SAGE PUBLICATIONS INC","1080-7683","1557-7732","PHARMACOLOGY & PHARMACY","SCIE","2,948","2.2","Q3","0.67","11.32"%,
"Drug Metabolism and Pharmacokinetics","DRUG METAB PHARMACOK","JAPANESE SOC STUDY XENOBIOTICS","1347-4367","1880-0920","PHARMACOLOGY & PHARMACY","SCIE","2,153","2.2","Q3","0.63","18.75"%,
"JOURNAL OF CLINICAL PHARMACOLOGY","J CLIN PHARMACOL","WILEY","0091-2700","1552-4604","PHARMACOLOGY & PHARMACY","SCIE","7,663","2.2","Q3","0.59","32.1"%,
"ENFERMEDADES INFECCIOSAS Y MICROBIOLOGIA CLINICA","ENFERM INFEC MICR CL","EDICIONES DOYMA S A","0213-005X","1578-1852","INFECTIOUS DISEASES","SCIE","2,099","2.2","Q3","0.55","15.79"%,
"BIOPHARMACEUTICS & DRUG DISPOSITION","BIOPHARM DRUG DISPOS","WILEY","0142-2782","1099-081X","PHARMACOLOGY & PHARMACY","SCIE","1,570","2.2","Q3","0.53","22.73"%,
"Expert Review of Pharmacoeconomics & Outcomes Research","EXPERT REV PHARM OUT","TAYLOR & FRANCIS LTD","1473-7167","1744-8379","PHARMACOLOGY & PHARMACY","SCIE","3,071","2.2","Q3","0.51","11.59"%,
"DRUG AND CHEMICAL TOXICOLOGY","DRUG CHEM TOXICOL","TAYLOR & FRANCIS LTD","0148-0545","1525-6014","PHARMACOLOGY & PHARMACY","SCIE","3,220","2.2","Q3","0.47","2.01"%,
"Pharmacy","PHARMACY-BASEL","MDPI","N/A","2226-4787","PHARMACOLOGY & PHARMACY","ESCI","3,081","2.2","Q3","0.44","100"%,
"Drugs in Context","DRUGS CONTEXT","BIOEXCEL PUBL LTD","N/A","1740-4398","PHARMACOLOGY & PHARMACY","ESCI","1,439","2.2","Q3","0.38","97.48"%,
"Current Reviews in Clinical and Experimental Pharmacology","CURR REV CLIN EXP PH","BENTHAM SCIENCE PUBL LTD","2772-4328","2772-4336","PHARMACOLOGY & PHARMACY","ESCI","243","2.2","Q3","0.36","5.88"%,
"Journal of the International Association of Providers of AIDS Care","J INT ASSOC PRO AIDS","SAGE PUBLICATIONS INC","2325-9574","2325-9582","INFECTIOUS DISEASES","ESCI","1,068","2.1","Q3","0.57","100"%,
"JOURNAL OF PHARMACOLOGICAL AND TOXICOLOGICAL METHODS","J PHARMACOL TOX MET","ELSEVIER SCIENCE INC","1056-8719","1873-488X","PHARMACOLOGY & PHARMACY","SCIE","2,615","2.1","Q3","0.54","23.78"%,
"HIV Research & Clinical Practice","HIV RES CLIN PRACT","TAYLOR & FRANCIS LTD","2578-7489","2578-7470","INFECTIOUS DISEASES","SCIE","232","2.1","Q3","0.53","100"%,
"HIV Research & Clinical Practice","HIV RES CLIN PRACT","TAYLOR & FRANCIS LTD","2578-7489","2578-7470","PHARMACOLOGY & PHARMACY","SCIE","232","2.1","Q3","0.53","100"%,
"JOURNAL OF CHEMOTHERAPY","J CHEMOTHERAPY","TAYLOR & FRANCIS LTD","1120-009X","1973-9478","INFECTIOUS DISEASES","SCIE","1,871","2.1","Q3","0.53","4.68"%,
"JOURNAL OF CHEMOTHERAPY","J CHEMOTHERAPY","TAYLOR & FRANCIS LTD","1120-009X","1973-9478","PHARMACOLOGY & PHARMACY","SCIE","1,871","2.1","Q3","0.53","4.68"%,
"BIOLOGICALS","BIOLOGICALS","ACADEMIC PRESS LTD- ELSEVIER SCIENCE LTD","1045-1056","1095-8320","PHARMACOLOGY & PHARMACY","SCIE","1,786","2.1","Q3","0.51","44.63"%,
"THERAPIE","THERAPIE","ELSEVIER","0040-5957","1958-5578","PHARMACOLOGY & PHARMACY","SCIE","1,408","2.1","Q3","0.5","23.98"%,
"PLANTA MEDICA","PLANTA MED","GEORG THIEME VERLAG KG","0032-0943","1439-0221","PHARMACOLOGY & PHARMACY","SCIE","12,125","2.1","Q3","0.47","9.92"%,
"ZEITSCHRIFT FUR NATURFORSCHUNG SECTION C-A JOURNAL OF BIOSCIENCES","Z NATURFORSCH C","WALTER DE GRUYTER GMBH","0939-5075","1865-7125","PHARMACOLOGY & PHARMACY","SCIE","3,637","2.1","Q3","0.47","7.48"%,
"Clinical Pharmacology-Advances and Applications","CLIN PHARMACOL-ADV A","DOVE MEDICAL PRESS LTD","1179-1438","1179-1438","PHARMACOLOGY & PHARMACY","ESCI","532","2.1","Q3","0.44","100"%,
"Therapeutic Innovation & Regulatory Science","THER INNOV REGUL SCI","SPRINGER HEIDELBERG","2168-4790","2168-4804","PHARMACOLOGY & PHARMACY","SCIE","2,132","2.1","Q3","0.44","46.65"%,
"AIDS Research and Treatment","AIDS RES TREAT","WILEY","2090-1240","2090-1259","INFECTIOUS DISEASES","ESCI","464","2.1","Q3","0.42","100"%,
"Infectious Microbes & Diseases","INFECT MICROBE DIS","LIPPINCOTT WILLIAMS & WILKINS","N/A","2641-5917","INFECTIOUS DISEASES","ESCI","232","2.1","Q3","0.26","100"%,
"ANTI-CANCER DRUGS","ANTI-CANCER DRUG","LIPPINCOTT WILLIAMS & WILKINS","0959-4973","1473-5741","PHARMACOLOGY & PHARMACY","SCIE","4,071","2","Q3","0.56","27.32"%,
"Drugs-Real World Outcomes","DRUGS-REAL WOR OUTC","SPRINGERNATURE","2199-1154","2198-9788","PHARMACOLOGY & PHARMACY","ESCI","798","2","Q3","0.56","100"%,
"Sexual Health","SEX HEALTH","CSIRO PUBLISHING","1448-5028","1449-8987","INFECTIOUS DISEASES","SCIE","1,897","2","Q3","0.51","53.31"%,
"Brazilian Journal of Infectious Diseases","BRAZ J INFECT DIS","ELSEVIER BRAZIL","1413-8670","1678-4391","INFECTIOUS DISEASES","SCIE","2,291","2","Q3","0.49","100"%,
"HUMAN PSYCHOPHARMACOLOGY-CLINICAL AND EXPERIMENTAL","HUM PSYCHOPHARM CLIN","WILEY","0885-6222","1099-1077","PHARMACOLOGY & PHARMACY","SCIE","1,724","2","Q3","0.49","53.13"%,
"Endocrine Metabolic & Immune Disorders-Drug Targets","ENDOCR METAB IMMUNE","BENTHAM SCIENCE PUBL LTD","1871-5303","2212-3873","PHARMACOLOGY & PHARMACY","SCIE","2,919","2","Q3","0.4","17.09"%,
"AIDS REVIEWS","AIDS REV","PERMANYER PUBL","1139-6121","1698-6997","INFECTIOUS DISEASES","SCIE","526","2","Q3","0.39","0"%,
"Contemporary Clinical Trials","CONTEMP CLIN TRIALS","ELSEVIER SCIENCE INC","1551-7144","1559-2030","PHARMACOLOGY & PHARMACY","SCIE","6,350","1.9","Q3","0.51","25.66"%,
"SEXUALLY TRANSMITTED DISEASES","SEX TRANSM DIS","LIPPINCOTT WILLIAMS & WILKINS","0148-5717","1537-4521","INFECTIOUS DISEASES","SCIE","5,228","1.9","Q3","0.49","15.75"%,
"Journal of Applied Biomedicine","J APPL BIOMED","UNIV SOUTH BOHEMIA","1214-021X","1214-0287","PHARMACOLOGY & PHARMACY","SCIE","763","1.9","Q3","0.48","100"%,
"AMERICAN JOURNAL OF HEALTH-SYSTEM PHARMACY","AM J HEALTH-SYST PH","OXFORD UNIV PRESS INC","1079-2082","1535-2900","PHARMACOLOGY & PHARMACY","SCIE","6,487","1.9","Q3","0.44","7.71"%,
"Neuropsychopharmacology Reports","NEUROPSYCHOPHARM REP","WILEY","N/A","2574-173X","PHARMACOLOGY & PHARMACY","ESCI","1,033","1.9","Q3","0.44","100"%,
"Antimicrobial Stewardship & Healthcare Epidemiology","ANTIMICROB STEWARD H","CAMBRIDGE UNIV PRESS","N/A","2732-494X","INFECTIOUS DISEASES","ESCI","1,328","1.9","Q3","0.4","99.86"%,
"Rare Disease and Orphan Drugs Journal","RARE DIS ORPH DRUG J","OAE PUBLISHING INC","N/A","2771-2893","PHARMACOLOGY & PHARMACY","ESCI","122","1.9","Q3","0.3","74.12"%,
"JOURNAL OF CHILD AND ADOLESCENT PSYCHOPHARMACOLOGY","J CHILD ADOL PSYCHOP","SAGE PUBLICATIONS INC","1044-5463","1557-8992","PHARMACOLOGY & PHARMACY","SCIE","3,057","1.8","Q3","0.72","8.82"%,
"VECTOR-BORNE AND ZOONOTIC DISEASES","VECTOR-BORNE ZOONOT","SAGE PUBLICATIONS INC","1530-3667","1557-7759","INFECTIOUS DISEASES","SCIE","4,435","1.8","Q3","0.53","15.07"%,
"CANADIAN JOURNAL OF PHYSIOLOGY AND PHARMACOLOGY","CAN J PHYSIOL PHARM","CANADIAN SCIENCE PUBLISHING","0008-4212","1205-7541","PHARMACOLOGY & PHARMACY","SCIE","4,274","1.8","Q3","0.51","40.57"%,
"Microbial Drug Resistance","MICROB DRUG RESIST","SAGE PUBLICATIONS INC","1076-6294","1931-8448","INFECTIOUS DISEASES","SCIE","3,732","1.8","Q3","0.51","5.23"%,
"Microbial Drug Resistance","MICROB DRUG RESIST","SAGE PUBLICATIONS INC","1076-6294","1931-8448","PHARMACOLOGY & PHARMACY","SCIE","3,732","1.8","Q3","0.51","5.23"%,
"BIOLOGICAL & PHARMACEUTICAL BULLETIN","BIOL PHARM BULL","PHARMACEUTICAL SOC JAPAN","0918-6158","1347-5215","PHARMACOLOGY & PHARMACY","SCIE","10,957","1.8","Q3","0.48","98.4"%,
"DIAGNOSTIC MICROBIOLOGY AND INFECTIOUS DISEASE","DIAGN MICR INFEC DIS","ELSEVIER SCIENCE INC","0732-8893","1879-0070","INFECTIOUS DISEASES","SCIE","6,820","1.8","Q3","0.48","25.05"%,
"ACTA PHARMACEUTICA","ACTA PHARMACEUT","Paradigm Publishing Services-De Gruyter Brill Sp Zoo","1330-0075","1846-9558","PHARMACOLOGY & PHARMACY","SCIE","1,492","1.8","Q3","0.45","100"%,
"ASSAY AND DRUG DEVELOPMENT TECHNOLOGIES","ASSAY DRUG DEV TECHN","SAGE PUBLICATIONS INC","1540-658X","1557-8127","PHARMACOLOGY & PHARMACY","SCIE","1,276","1.8","Q3","0.43","2"%,
"Pharmaceutical Sciences","PHARM SCI-IRAN","TABRIZ UNIV MEDICAL SCIENCES, FAC PHARMACY","1735-403X","2383-2886","PHARMACOLOGY & PHARMACY","ESCI","646","1.8","Q3","0.42","99.25"%,
"SOUTHERN AFRICAN JOURNAL OF HIV MEDICINE","S AFR J HIV MED","AOSIS","1608-9693","2078-6751","INFECTIOUS DISEASES","SCIE","598","1.8","Q3","0.4","100"%,
"JOURNAL OF INTERNATIONAL MEDICAL RESEARCH","J INT MED RES","SAGE PUBLICATIONS LTD","0300-0605","1473-2300","PHARMACOLOGY & PHARMACY","SCIE","11,822","1.8","Q3","0.34","99.93"%,
"GERMS","GERMS","MDPI","2248-2997","2248-2997","INFECTIOUS DISEASES","ESCI","656","1.8","Q3","0.32","36"%,
"Current Pharmacology Reports","CURR PHARMACOL REP","SPRINGERNATURE","N/A","2198-641X","PHARMACOLOGY & PHARMACY","ESCI","933","1.8","Q3","0.29","10.08"%,
"Surgical Infections","SURG INFECT","SAGE PUBLICATIONS INC","1096-2964","1557-8674","INFECTIOUS DISEASES","SCIE","3,475","1.7","Q4","0.54","5.41"%,
"JOURNAL OF INFECTION AND CHEMOTHERAPY","J INFECT CHEMOTHER","ELSEVIER","1341-321X","1437-7780","INFECTIOUS DISEASES","SCIE","4,876","1.7","Q4","0.52","11.06"%,
"JOURNAL OF INFECTION AND CHEMOTHERAPY","J INFECT CHEMOTHER","ELSEVIER","1341-321X","1437-7780","PHARMACOLOGY & PHARMACY","SCIE","4,876","1.7","Q3","0.52","11.06"%,
"Clinical Pharmacology in Drug Development","CLIN PHARM DRUG DEV","WILEY","2160-7648","2160-7648","PHARMACOLOGY & PHARMACY","SCIE","1,912","1.7","Q3","0.49","47.75"%,
"CANCER BIOTHERAPY AND RADIOPHARMACEUTICALS","CANCER BIOTHER RADIO","SAGE PUBLICATIONS INC","1084-9785","1557-8852","PHARMACOLOGY & PHARMACY","SCIE","2,507","1.7","Q3","0.46","7.65"%,
"BIOMEDICAL CHROMATOGRAPHY","BIOMED CHROMATOGR","WILEY","0269-3879","1099-0801","PHARMACOLOGY & PHARMACY","SCIE","5,800","1.7","Q3","0.44","6.92"%,
"Iranian Journal of Pharmaceutical Research","IRAN J PHARM RES","BRIEFLANDS","1735-0328","1726-6890","PHARMACOLOGY & PHARMACY","SCIE","3,959","1.7","Q3","0.41","99.57"%,
"COMBINATORIAL CHEMISTRY & HIGH THROUGHPUT SCREENING","COMB CHEM HIGH T SCR","BENTHAM SCIENCE PUBL LTD","1386-2073","1875-5402","PHARMACOLOGY & PHARMACY","SCIE","2,957","1.7","Q3","0.38","10.37"%,
"Journal of the American College of Clinical Pharmacy","J AM COLL CLIN PHARM","WILEY","N/A","2574-9870","PHARMACOLOGY & PHARMACY","ESCI","1,379","1.7","Q3","0.37","27.73"%,
"Revista Brasileira de Farmacognosia-Brazilian Journal of Pharmacognosy","REV BRAS FARMACOGN","SPRINGERNATURE","0102-695X","1981-528X","PHARMACOLOGY & PHARMACY","SCIE","3,391","1.7","Q3","0.32","10.56"%,
"FARMACIA HOSPITALARIA","FARM HOSP","ELSEVIER SCIENCE INC","1130-6343","2171-8695","PHARMACOLOGY & PHARMACY","ESCI","755","1.7","Q3","0.25","65.79"%,
"EXPERIMENTAL AND CLINICAL PSYCHOPHARMACOLOGY","EXP CLIN PSYCHOPHARM","AMER PSYCHOLOGICAL ASSOC","1064-1297","1936-2293","PHARMACOLOGY & PHARMACY","SCIE","2,965","1.6","Q4","0.65","67.03"%,
"Turkish Journal of Pharmaceutical Sciences","TURK J PHARM SCI","GALENOS PUBL HOUSE","1304-530X","2148-6247","PHARMACOLOGY & PHARMACY","ESCI","1,402","1.6","Q4","0.46","100"%,
"Pharmacogenetics and Genomics","PHARMACOGENET GENOM","LIPPINCOTT WILLIAMS & WILKINS","1744-6872","1744-6880","PHARMACOLOGY & PHARMACY","SCIE","2,289","1.6","Q4","0.43","11.76"%,
"PHARMACOGENOMICS","PHARMACOGENOMICS","TAYLOR & FRANCIS LTD","1462-2416","1744-8042","PHARMACOLOGY & PHARMACY","SCIE","3,073","1.6","Q4","0.4","7.33"%,
"FARMACIA","FARMACIA","SOC STIINTE FARMACEUTICE ROMANIA","0014-8237","2065-0019","PHARMACOLOGY & PHARMACY","SCIE","1,467","1.6","Q4","0.37","88.5"%,
"INTERNATIONAL JOURNAL OF MEDICINAL MUSHROOMS","INT J MED MUSHROOMS","BEGELL HOUSE INC","1521-9437","1940-4344","PHARMACOLOGY & PHARMACY","SCIE","2,135","1.6","Q4","0.35","0.43"%,
"INTERNATIONAL JOURNAL OF STD & AIDS","INT J STD AIDS","SAGE PUBLICATIONS LTD","0956-4624","1758-1052","INFECTIOUS DISEASES","SCIE","3,282","1.6","Q4","0.35","12.61"%,
"JOURNAL OF ASIAN NATURAL PRODUCTS RESEARCH","J ASIAN NAT PROD RES","TAYLOR & FRANCIS LTD","1028-6020","1477-2213","PHARMACOLOGY & PHARMACY","SCIE","3,293","1.6","Q4","0.35","0"%,
"Traditional & Kampo Medicine","TRADIT KAMPO MED","WILEY","N/A","2053-4515","PHARMACOLOGY & PHARMACY","ESCI","212","1.6","Q4","0.31","29.07"%,
