"Journal Data Filtered By:  Selected Categories: PHARMACOLOGY & PHARMACY;INFECTIOUS DISEASES Selected Editions: SCIE;SSCI;AHCI;ESCI Selected JCR Year: 2025 Selected Category Schema: WOS Selected Open Access: N Indicator: Default"

Journal name,JCR Abbreviation,Publisher,ISSN,eISSN,Category,Edition,Total Citations,2025 JIF,JIF Quartile,2025 JCI,% of Citable OA
"Pharmaceuticals","PHARMACEUTICALS-BASE","MDPI","N/A","1424-8247","PHARMACOLOGY & PHARMACY","SCIE","44,567","5.7","Q1","1.05","99.96"%,
"Infectious Diseases and Therapy","INFECT DIS THER","SPRINGER LONDON LTD","2193-8229","2193-6382","INFECTIOUS DISEASES","SCIE","4,670","5.6","Q1","1.32","100"%,
"International Immunopharmacology","INT IMMUNOPHARMACOL","ELSEVIER","1567-5769","1878-1705","PHARMACOLOGY & PHARMACY","SCIE","56,435","5.6","Q1","1.28","22.16"%,
"Travel Medicine and Infectious Disease","TRAVEL MED INFECT DI","ELSEVIER SCI LTD","1477-8939","1873-0442","INFECTIOUS DISEASES","SCIE","3,506","5.6","Q1","1.23","99.22"%,
"CURRENT OPINION IN PHARMACOLOGY","CURR OPIN PHARMACOL","ELSEVIER SCI LTD","1471-4892","1471-4973","PHARMACOLOGY & PHARMACY","SCIE","6,901","5.5","Q1","1.4","33.66"%,
"JOURNAL OF TRAVEL MEDICINE","J TRAVEL MED","OXFORD UNIV PRESS INC","1195-1982","1708-8305","INFECTIOUS DISEASES","SCIE","4,177","5.5","Q1","1.18","36.82"%,
"Antibiotics-Basel","ANTIBIOTICS-BASEL","MDPI","2079-6382","2079-6382","INFECTIOUS DISEASES","SCIE","45,630","5.5","Q1","1.16","99.95"%,
"Antibiotics-Basel","ANTIBIOTICS-BASEL","MDPI","2079-6382","2079-6382","PHARMACOLOGY & PHARMACY","SCIE","45,630","5.5","Q1","1.16","99.95"%,
"RSC Pharmaceutics","RSC PHARM","ROYAL SOC CHEMISTRY","N/A","2976-8713","PHARMACOLOGY & PHARMACY","ESCI","667","5.5","Q1","1.15","100"%,
"JOURNAL OF PHARMACY AND PHARMACEUTICAL SCIENCES","J PHARM PHARM SCI","FRONTIERS MEDIA SA","N/A","1482-1826","PHARMACOLOGY & PHARMACY","SCIE","2,384","5.5","Q1","1.06","100"%,
"Frontiers in Pharmacology","FRONT PHARMACOL","FRONTIERS MEDIA SA","N/A","1663-9812","PHARMACOLOGY & PHARMACY","SCIE","133,302","5.4","Q1","1.07","99.91"%,
"JOURNAL OF PSYCHOPHARMACOLOGY","J PSYCHOPHARMACOL","SAGE PUBLICATIONS LTD","0269-8811","1461-7285","PHARMACOLOGY & PHARMACY","SCIE","10,348","5.3","Q1","1.41","46.88"%,
"One Health","ONE HEALTH-AMSTERDAM","ELSEVIER","N/A","2352-7714","INFECTIOUS DISEASES","SCIE","4,571","5.3","Q1","1.4","100"%,
"TOXICOLOGY","TOXICOLOGY","ELSEVIER IRELAND LTD","0300-483X","1879-3185","PHARMACOLOGY & PHARMACY","SCIE","16,009","5.2","Q1","1.38","25.15"%,
"JOURNAL OF DRUG DELIVERY SCIENCE AND TECHNOLOGY","J DRUG DELIV SCI TEC","ELSEVIER","1773-2247","2588-8943","PHARMACOLOGY & PHARMACY","SCIE","30,864","5.2","Q1","1.22","14.92"%,
"CHEMICO-BIOLOGICAL INTERACTIONS","CHEM-BIOL INTERACT","ELSEVIER IRELAND LTD","0009-2797","1872-7786","PHARMACOLOGY & PHARMACY","SCIE","20,894","5.2","Q1","1.18","14.65"%,
