"Journal Data Filtered By:  Selected Categories: TOXICOLOGY Selected Editions: SCIE;SSCI;AHCI;ESCI Selected JCR Year: 2025 Selected Category Schema: WOS Selected Open Access: N Indicator: Default"

Journal name,JCR Abbreviation,Publisher,ISSN,eISSN,Category,Edition,Total Citations,2025 JIF,JIF Quartile,2025 JCI,% of Citable OA
"DRUG AND CHEMICAL TOXICOLOGY","DRUG CHEM TOXICOL","TAYLOR & FRANCIS LTD","0148-0545","1525-6014","TOXICOLOGY","SCIE","3,220","2.2","Q3","0.47","2.01"%,
"World Mycotoxin Journal","WORLD MYCOTOXIN J","BRILL","1875-0710","1875-0796","TOXICOLOGY","SCIE","1,193","2.2","Q3","0.44","28.81"%,
"Toxicologie Analytique et Clinique","TOXICOL ANAL CLIN","ELSEVIER MASSON SAS EDITEUR","2352-0078","2352-0086","TOXICOLOGY","ESCI","442","2.2","Q3","0.32","4.23"%,
"Forensic Toxicology","FORENSIC TOXICOL","SPRINGER","1860-8965","1860-8973","TOXICOLOGY","SCIE","964","2.1","Q4","0.59","39.36"%,
"JOURNAL OF PHARMACOLOGICAL AND TOXICOLOGICAL METHODS","J PHARMACOL TOX MET","ELSEVIER SCIENCE INC","1056-8719","1873-488X","TOXICOLOGY","SCIE","2,615","2.1","Q4","0.54","23.78"%,
"INHALATION TOXICOLOGY","INHAL TOXICOL","TAYLOR & FRANCIS LTD","0895-8378","1091-7691","TOXICOLOGY","SCIE","2,746","2.1","Q4","0.52","20.39"%,
"ARCHIVES OF ENVIRONMENTAL CONTAMINATION AND TOXICOLOGY","ARCH ENVIRON CON TOX","SPRINGER","0090-4341","1432-0703","TOXICOLOGY","SCIE","6,660","2.1","Q4","0.48","24.21"%,
"JOURNAL OF ENVIRONMENTAL PATHOLOGY TOXICOLOGY AND ONCOLOGY","J ENVIRON PATHOL TOX","BEGELL HOUSE INC","0731-8898","2162-6537","TOXICOLOGY","SCIE","959","2","Q4","0.65","3.75"%,
"Birth Defects Research","BIRTH DEFECTS RES","WILEY","2472-1727","2472-1727","TOXICOLOGY","SCIE","2,427","2","Q4","0.51","26.06"%,
"Journal of Medical Toxicology","J MED TOXICOL","SPRINGER","1556-9039","1937-6995","TOXICOLOGY","SCIE","1,710","2","Q4","0.5","21.78"%,
"Genes and Environment","GENES ENVIRON","BMC","1880-7046","1880-7062","TOXICOLOGY","SCIE","730","2","Q4","0.46","100"%,
"Toxicology and Environmental Health Sciences","TOXICOL ENV HEALTH","KOREAN SOC ENVIRONMENTAL RISK ASSESSMENT & HEALTH SCIENCE","2005-9752","2233-7784","TOXICOLOGY","ESCI","634","2","Q4","0.31","7.26"%,
"BULLETIN OF ENVIRONMENTAL CONTAMINATION AND TOXICOLOGY","B ENVIRON CONTAM TOX","SPRINGER","0007-4861","1432-0800","TOXICOLOGY","SCIE","8,951","1.9","Q4","0.5","9.67"%,
"JOURNAL OF TOXICOLOGICAL SCIENCES","J TOXICOL SCI","JAPANESE SOC TOXICOLOGICAL SCIENCES","0388-1350","1880-3989","TOXICOLOGY","SCIE","1,936","1.8","Q4","0.41","88.44"%,
"Arhiv za Higijenu Rada i Toksikologiju-Archives of Industrial Hygiene and Toxicology","ARH HIG RADA TOKSIKO","Paradigm Publishing Services-De Gruyter Brill Sp Zoo","0004-1254","1848-6312","TOXICOLOGY","SCIE","1,265","1.7","Q4","0.41","100"%,
"Cutaneous and Ocular Toxicology","CUTAN OCUL TOXICOL","TAYLOR & FRANCIS LTD","1556-9527","1556-9535","TOXICOLOGY","SCIE","1,196","1.6","Q4","0.53","1.26"%,
"TOXICOLOGY AND INDUSTRIAL HEALTH","TOXICOL IND HEALTH","SAGE PUBLICATIONS INC","0748-2337","1477-0393","TOXICOLOGY","SCIE","2,807","1.6","Q4","0.5","6.13"%,
"INDUSTRIAL HEALTH","IND HEALTH","NATL INST OCCUPATIONAL SAFETY & HEALTH, JAPAN","0019-8366","1880-8026","TOXICOLOGY","SCIE","2,653","1.6","Q4","0.45","100"%,
"XENOBIOTICA","XENOBIOTICA","TAYLOR & FRANCIS LTD","0049-8254","1366-5928","TOXICOLOGY","SCIE","3,208","1.5","Q4","0.39","4.44"%,
"Molecular & Cellular Toxicology","MOL CELL TOXICOL","KOREAN SOCIETY TOXICOGENOMICS & TOXICOPROTEOMICS-KSTT","1738-642X","2092-8467","TOXICOLOGY","SCIE","998","1.4","Q4","0.29","3.83"%,
"INTERNATIONAL JOURNAL OF TOXICOLOGY","INT J TOXICOL","SAGE PUBLICATIONS INC","1091-5818","1092-874X","TOXICOLOGY","SCIE","2,594","1.3","Q4","0.3","9.31"%,
"TOXICOLOGICAL AND ENVIRONMENTAL CHEMISTRY","TOXICOL ENVIRON CHEM","TAYLOR & FRANCIS LTD","0277-2248","1029-0486","TOXICOLOGY","SCIE","1,732","1.2","Q4","0.25","1.75"%,
"Journal of Toxicologic Pathology","J TOXICOL PATHOL","JAPANESE SOC TOXICOLOGIC PATHOLOGY","0914-9198","1881-915X","TOXICOLOGY","SCIE","669","1.1","Q4","0.28","94.12"%,
"Toxicology Communications","TOXICOL COMMUN","TAYLOR & FRANCIS LTD","N/A","2473-4306","TOXICOLOGY","ESCI","172","0.9","Q4","0.21","100"%,
"Journal of Food Safety and Food Quality-Archiv fur Lebensmittelhygiene","J FOOD SAF FOOD QUAL","IMR PRESS","0003-925X","N/A","TOXICOLOGY","SCIE","177","0.9","Q4","0.11","30.19"%,
"FLUORIDE","FLUORIDE","INT SOC FLUORIDE RESEARCH","0015-4725","2253-4083","TOXICOLOGY","SCIE","629","0.8","Q4","0.15","0"%,
"International Journal of Medical Toxicology and Forensic Medicine","INT J MED TOX FORENS","SHAHEED BEHESHTI MEDICAL UNIV-MEDICAL SCIENCES & HEALTH SERVICES","2251-8762","2251-8770","TOXICOLOGY","ESCI","167","0.5","Q4","0.2","72.31"%,

Copyright (c) 2026 Clarivate 
By exporting the selected data; you agree to the data usage policy set forth in the Terms of Use 
